type,source,target,volume,pipette,tipType,liquidClass,sameTips,reuseTips,ejectTipsWithLiquid,bottomTouch,liquidLevelDetection,prewetEnabled,prewetReps,prewetVolume,prewetRelative,prewetHeights,mixingEnabled,mixingReps,mixingVolume,mixingRelative,mixingHeights,stepRowSource,stepColSource,stepRowTarget,stepColTarget,offsetRowSource,offsetColSource,offsetRowTarget,offsetColTarget,excessDispense,excessVol,aspirationOffsetX,aspirationOffsetY,dispenseOffsetX,dispenseOffsetY,aspirationDepthRelative,aspirationDepthValue,dispenseDepthRelative,dispenseDepthValue,note,timedBreak,timeEvent,pauseTimeMinutes,deviceType,devicePos,action,deviceArgName,deviceArgValue
dispense,7:A1,8:A1 8:A1 8:A1,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A1,8:A2 8:A2 8:A2,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A1,8:A3 8:A3 8:A3,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A2,8:A4 8:A4 8:A4,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A2,8:A5 8:A5 8:A5,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A2,8:A6 8:A6 8:A6,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A3,8:B1 8:B1 8:B1,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A3,8:B2 8:B2 8:B2,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A3,8:B3 8:B3 8:B3,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A4,8:B4 8:B4 8:B4,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,TRUE,3,1000,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A4,8:B5 8:B5 8:B5,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
dispense,7:A4,8:B6 8:B6 8:B6,1000.0 1000.0 500.0,1-Channel 1000uL,Sartorius Tips (10+AC0-1000uL),Waterlike,TRUE,TRUE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1,1 1 1,0,0,0 0 0,0 0 0,source,0,0,0,0,0,liquid,-5,liquid,-1,,,,,,,,,
